id,Borough,subCategory,Cohort_Year,Cohort,Total_Cohort,Percent_Cohort,Number_Grads,Percent_Grads
1,All,Asian,2018,4 year August,12955,18.3,11950,92.2
2,All,Black,2018,4 year August,17040,24,13750,80.7
3,All,Hispanic,2018,4 year August,28518,40.2,22681,79.5
4,All,Multi-Racial,2018,4 year August,1271,1.8,1136,89.4
5,All,Native American,2018,4 year August,876,1.2,718,82
6,All,White,2018,4 year August,10252,14.5,9139,89.1
7,Bronx,Asian,2018,4 year August,932,7.5,879,94.3
8,Bronx,Black,2018,4 year August,3263,26.1,2528,77.5
9,Bronx,Hispanic,2018,4 year August,7409,59.3,5767,77.8
10,Bronx,Multi-Racial,2018,4 year August,98,0.8,77,78.6
11,Bronx,Native American,2018,4 year August,163,1.3,125,76.7
12,Bronx,White,2018,4 year August,622,5,545,87.6
13,Brooklyn,Asian,2018,4 year August,3823,19.2,3494,91.4
14,Brooklyn,Black,2018,4 year August,6655,33.5,5428,81.6
15,Brooklyn,Hispanic,2018,4 year August,5680,28.6,4394,77.4
16,Brooklyn,Multi-Racial,2018,4 year August,329,1.7,279,84.8
17,Brooklyn,Native American,2018,4 year August,157,0.8,125,79.6
18,Brooklyn,White,2018,4 year August,3230,16.3,2804,86.8
19,Manhattan,Asian,2018,4 year August,2181,14.6,2043,93.7
20,Manhattan,Black,2018,4 year August,2940,19.7,2300,78.2
21,Manhattan,Hispanic,2018,4 year August,6981,46.7,5544,79.4
22,Manhattan,Multi-Racial,2018,4 year August,441,3,409,92.7
23,Manhattan,Native American,2018,4 year August,151,1,113,74.8
24,Manhattan,White,2018,4 year August,2241,15,2042,91.1
25,Queens,Asian,2018,4 year August,5398,28.3,4946,91.6
26,Queens,Black,2018,4 year August,3539,18.6,3015,85.2
27,Queens,Hispanic,2018,4 year August,7243,38,6034,83.3
28,Queens,Multi-Racial,2018,4 year August,335,1.8,311,92.8
29,Queens,Native American,2018,4 year August,379,2,333,87.9
30,Queens,White,2018,4 year August,2154,11.3,1895,88
31,Staten Island,Asian,2018,4 year August,621,13.6,588,94.7
32,Staten Island,Black,2018,4 year August,643,14.1,479,74.5
33,Staten Island,Hispanic,2018,4 year August,1205,26.4,942,78.2
34,Staten Island,Multi-Racial,2018,4 year August,68,1.5,60,88.2
35,Staten Island,Native American,2018,4 year August,26,0.6,22,84.6
36,Staten Island,White,2018,4 year August,2005,43.9,1853,92.4
