id,District,,Category,Cohort_Year,Cohort,Total_Cohort,Number_Grads,Percent_Grads
1,1,English,ELL,2018,4 year August,150,60,40
2,1,English,Former ELL,2018,4 year August,29,26,89.7
3,1,English,Not ELL,2018,4 year August,707,592,83.7
4,2,English,ELL,2018,4 year August,1090,559,51.3
5,2,English,Former ELL,2018,4 year August,264,237,89.8
6,2,English,Not ELL,2018,4 year August,7411,6519,88
7,3,English,ELL,2018,4 year August,72,46,63.9
8,3,English,Former ELL,2018,4 year August,50,46,92
9,3,English,Not ELL,2018,4 year August,2031,1811,89.2
10,4,English,ELL,2018,4 year August,78,59,75.6
11,4,English,Former ELL,2018,4 year August,32,29,90.6
12,4,English,Not ELL,2018,4 year August,860,762,88.6
13,5,English,ELL,2018,4 year August,56,36,64.3
14,5,English,Former ELL,2018,4 year August,18,16,88.9
15,5,English,Not ELL,2018,4 year August,752,558,74.2
16,6,English,ELL,2018,4 year August,425,329,77.4
17,6,English,Former ELL,2018,4 year August,73,69,94.5
18,6,English,Not ELL,2018,4 year August,837,697,83.3
19,7,English,ELL,2018,4 year August,263,184,70
20,7,English,Former ELL,2018,4 year August,64,56,87.5
21,7,English,Not ELL,2018,4 year August,1330,983,73.9
22,8,English,ELL,2018,4 year August,302,210,69.5
23,8,English,Former ELL,2018,4 year August,71,62,87.3
24,8,English,Not ELL,2018,4 year August,1243,938,75.5
25,9,English,ELL,2018,4 year August,541,416,76.9
26,9,English,Former ELL,2018,4 year August,107,99,92.5
27,9,English,Not ELL,2018,4 year August,1379,1075,78
28,10,English,ELL,2018,4 year August,693,493,71.1
29,10,English,Former ELL,2018,4 year August,146,136,93.2
30,10,English,Not ELL,2018,4 year August,2882,2584,89.7
31,11,English,ELL,2018,4 year August,333,253,76
32,11,English,Former ELL,2018,4 year August,79,74,93.7
33,11,English,Not ELL,2018,4 year August,1752,1414,80.7
34,12,English,ELL,2018,4 year August,342,252,73.7
35,12,English,Former ELL,2018,4 year August,56,49,87.5
36,12,English,Not ELL,2018,4 year August,904,643,71.1
37,13,English,ELL,2018,4 year August,123,96,78
38,13,English,Former ELL,2018,4 year August,39,37,94.9
39,13,English,Not ELL,2018,4 year August,2589,2399,92.7
40,14,English,ELL,2018,4 year August,178,116,65.2
41,14,English,Former ELL,2018,4 year August,46,45,97.8
42,14,English,Not ELL,2018,4 year August,1205,1087,90.2
43,15,English,ELL,2018,4 year August,183,123,67.2
44,15,English,Former ELL,2018,4 year August,39,33,84.6
45,15,English,Not ELL,2018,4 year August,1407,1133,80.5
46,16,English,ELL,2018,4 year August,20,17,85
47,16,English,Former ELL,2018,4 year August,5,2,40
48,16,English,Not ELL,2018,4 year August,394,256,65
49,17,English,ELL,2018,4 year August,170,116,68.2
50,17,English,Former ELL,2018,4 year August,28,25,89.3
51,17,English,Not ELL,2018,4 year August,1569,1312,83.6
52,18,English,ELL,2018,4 year August,102,69,67.6
53,18,English,Former ELL,2018,4 year August,19,17,89.5
54,18,English,Not ELL,2018,4 year August,786,555,70.6
55,19,English,ELL,2018,4 year August,228,175,76.8
56,19,English,Former ELL,2018,4 year August,59,57,96.6
57,19,English,Not ELL,2018,4 year August,1007,856,85
58,20,English,ELL,2018,4 year August,772,434,56.2
59,20,English,Former ELL,2018,4 year August,243,216,88.9
60,20,English,Not ELL,2018,4 year August,2318,2020,87.1
61,21,English,ELL,2018,4 year August,464,323,69.6
62,21,English,Former ELL,2018,4 year August,139,120,86.3
63,21,English,Not ELL,2018,4 year August,2087,1797,86.1
64,22,English,ELL,2018,4 year August,205,149,72.7
65,22,English,Former ELL,2018,4 year August,83,78,94
66,22,English,Not ELL,2018,4 year August,2320,2089,90
67,23,English,ELL,2018,4 year August,22,11,50
68,23,English,Former ELL,2018,4 year August,6,3,50
69,23,English,Not ELL,2018,4 year August,374,239,63.9
70,24,English,ELL,2018,4 year August,590,400,67.8
71,24,English,Former ELL,2018,4 year August,174,167,96
72,24,English,Not ELL,2018,4 year August,2606,2326,89.3
73,25,English,ELL,2018,4 year August,412,271,65.8
74,25,English,Former ELL,2018,4 year August,89,83,93.3
75,25,English,Not ELL,2018,4 year August,1881,1664,88.5
76,26,English,ELL,2018,4 year August,306,262,85.6
77,26,English,Former ELL,2018,4 year August,132,128,97
78,26,English,Not ELL,2018,4 year August,2916,2722,93.3
79,27,English,ELL,2018,4 year August,387,225,58.1
80,27,English,Former ELL,2018,4 year August,97,94,96.9
81,27,English,Not ELL,2018,4 year August,2392,2060,86.1
82,28,English,ELL,2018,4 year August,322,216,67.1
83,28,English,Former ELL,2018,4 year August,109,102,93.6
84,28,English,Not ELL,2018,4 year August,3209,2906,90.6
85,29,English,ELL,2018,4 year August,92,59,64.1
86,29,English,Former ELL,2018,4 year August,29,29,100
87,29,English,Not ELL,2018,4 year August,907,740,81.6
88,30,English,ELL,2018,4 year August,381,271,71.1
89,30,English,Former ELL,2018,4 year August,117,107,91.5
90,30,English,Not ELL,2018,4 year August,1900,1702,89.6
91,31,English,ELL,2018,4 year August,295,188,63.7
92,31,English,Former ELL,2018,4 year August,85,75,88.2
93,31,English,Not ELL,2018,4 year August,4188,3681,87.9
94,32,English,ELL,2018,4 year August,163,124,76.1
95,32,English,Former ELL,2018,4 year August,35,30,85.7
96,32,English,Not ELL,2018,4 year August,447,365,81.7
